iter	Passed	Remaining
596	18511	12496
597	18541	12464
598	18573	12434
599	18604	12402
600	18632	12370
601	18660	12337
602	18689	12304
603	18718	12272
604	18747	12240
605	18777	12208
606	18809	12177
607	18840	12146
608	18876	12119
609	18907	12088
610	18938	12057
611	18971	12027
612	19003	11997
613	19035	11967
614	19064	11934
615	19092	11902
616	19122	11870
617	19150	11837
618	19178	11804
619	19207	11772
620	19236	11740
621	19265	11708
622	19294	11675
623	19324	11644
624	19354	11612
625	19382	11580
626	19413	11549
627	19455	11524
628	19484	11492
629	19513	11460
630	19542	11427
631	19570	11395
632	19598	11362
633	19627	11330
634	19663	11302
635	19692	11270
636	19720	11237
637	19749	11206
638	19777	11172
639	19804	11140
640	19833	11108
641	19861	11075
642	19896	11046
643	19930	11017
644	19958	10984
645	19986	10952
646	20015	10920
647	20043	10887
648	20072	10855
649	20100	10823
650	20136	10795
651	20165	10763
652	20194	10731
653	20222	10698
654	20251	10667
655	20279	10634
656	20305	10601
657	20335	10569
658	20370	10540
659	20399	10508
660	20431	10478
661	20460	10446
662	20488	10414
663	20516	10382
664	20545	10349
665	20572	10317
666	20609	10289
667	20641	10258
668	20670	10227
669	20698	10194
670	20727	10162
671	20756	10131
672	20785	10099
673	20816	10068
674	20852	10040
675	20881	10008
676	20912	9977
677	20941	9945
678	20972	9914
679	21002	9883
680	21034	9853
681	21066	9822
682	21095	9791
683	21123	9758
684	21152	9727
685	21181	9695
686	21210	9663
687	21240	9632
688	21271	9601
689	21301	9570
690	21329	9538
691	21358	9506
692	21387	9474
693	21415	9442
694	21446	9411
695	21482	9383
696	21515	9353
697	21543	9321
698	21571	9288
699	21598	9256
700	21626	9224
701	21655	9192
702	21683	9160
703	21719	9132
704	21755	9103
705	21784	9071
706	21814	9040
707	21848	9010
708	21876	8979
709	21907	8948
710	21934	8915
711	21967	8885
712	21997	8854
713	22025	8822
714	22053	8790
715	22081	8758
716	22111	8727
717	22140	8695
718	22174	8666
719	22203	8634
720	22231	8602
721	22259	8570
722	22288	8539
723	22316	8507
724	22344	8475
725	22379	8446
726	22409	8415
727	22440	8384
728	22469	8352
729	22498	8321
730	22526	8289
731	22555	8257
732	22584	8226
733	22613	8195
734	22644	8164
735	22674	8133
736	22703	8101
737	22731	8070
738	22760	8038
739	22789	8007
740	22818	7975
741	22852	7946
742	22888	7917
743	22917	7885
744	22945	7853
745	22979	7823
746	23007	7792
747	23036	7760
748	23064	7729
749	23095	7698
750	23126	7667
751	23155	7636
752	23183	7604
753	23211	7573
754	23240	7541
755	23269	7510
756	23297	7478
757	23331	7448
758	23365	7419
759	23395	7387
760	23426	7357
761	23454	7325
762	23483	7294
763	23512	7262
764	23539	7230
765	23572	7200
766	23602	7169
767	23631	7138
768	23659	7107
769	23687	7075
770	23716	7044
771	23745	7012
772	23774	6981
773	23805	6951
774	23838	6920
775	23871	6890
776	23900	6859
777	23929	6828
778	23958	6796
779	23986	6765
780	24017	6734
781	24050	6704
782	24080	6673
783	24107	6641
784	24135	6610
785	24163	6578
786	24192	6547
787	24221	6516
788	24252	6485
789	24283	6455
790	24312	6423
791	24341	6392
792	24369	6361
793	24401	6330
794	24430	6299
795	24466	6270
796	24497	6239
797	24526	6208
798	24554	6177
799	24583	6145
800	24611	6114
801	24641	6083
802	24672	6052
803	24703	6022
804	24733	5991
805	24762	5960
806	24791	5929
807	24837	5902
808	24870	5871
809	24906	5842
810	24939	5812
811	24973	5782
812	25002	5750
813	25031	5719
814	25060	5688
815	25088	5657
816	25119	5626
817	25153	5596
818	25183	5565
819	25211	5534
820	25239	5502
821	25268	5471
822	25296	5440
823	25324	5409
824	25359	5379
825	25397	5349
826	25426	5318
827	25455	5287
828	25487	5257
829	25518	5226
830	25554	5197
831	25591	5167
832	25622	5136
833	25651	5105
834	25679	5074
835	25708	5043
836	25735	5011
837	25764	4980
838	25794	4949
839	25828	4919
840	25865	4890
841	25894	4859
842	25923	4828
843	25953	4797
844	25981	4765
845	26008	4734
846	26038	4703
847	26073	4673
848	26104	4642
849	26133	4611
850	26161	4580
851	26189	4549
852	26219	4518
853	26247	4487
854	26276	4456
855	26308	4425
856	26342	4395
857	26370	4364
858	26400	4333
859	26433	4303
860	26461	4272
861	26488	4240
862	26517	4209
863	26550	4179
864	26587	4149
865	26624	4119
866	26655	4089
867	26684	4058
868	26712	4026
869	26741	3995
870	26775	3965
871	26809	3935
872	26842	3904
873	26871	3873
874	26899	3842
875	26928	3811
876	26962	3781
877	26994	3750
878	27027	3720
879	27061	3690
880	27093	3659
881	27119	3628
882	27147	3597
883	27175	3566
884	27204	3535
885	27242	3505
886	27274	3474
887	27302	3443
888	27331	3412
889	27359	3381
890	27391	3350
891	27421	3320
892	27455	3289
893	27485	3258
894	27513	3227
895	27541	3196
896	27569	3165
897	27597	3134
898	27624	3103
899	27659	3073
900	27689	3042
901	27718	3011
902	27747	2980
903	27776	2949
904	27807	2919
905	27838	2888
906	27870	2857
907	27901	2827
908	27933	2796
909	27961	2765
910	27989	2734
911	28018	2703
912	28047	2672
913	28076	2641
914	28104	2610
915	28135	2580
916	28165	2549
917	28193	2518
918	28221	2487
919	28249	2456
920	28277	2425
921	28306	2394
922	28340	2364
923	28379	2334
924	28407	2303
925	28436	2272
926	28464	2241
927	28492	2210
928	28521	2179
929	28549	2148
930	28579	2118
931	28610	2087
932	28639	2056
933	28666	2025
934	28695	1994
935	28724	1964
936	28752	1933
937	28793	1903
938	28827	1872
939	28858	1842
940	28887	1811
941	28916	1780
942	28947	1749
943	28981	1719
944	29013	1688
945	29043	1657
946	29072	1627
